Store,Dept,Current_Stock,Lead_Time,Ordering_Cost,Holding_Cost,Supplier_ID
2,90,204,7,149,10,S005
2,91,417,2,439,22,S002
2,92,702,4,446,13,S002
2,93,966,3,233,19,S004
2,94,597,5,446,12,S001
2,95,994,6,236,23,S003
2,96,592,7,344,20,S004
2,97,406,6,208,10,S005
2,98,214,4,412,10,S003
2,99,753,7,386,7,S001
3,1,660,5,120,14,S001
3,2,890,2,189,5,S002
3,3,774,6,395,18,S004
3,4,942,4,211,8,S005
3,5,440,5,400,16,S003
3,6,763,5,176,10,S001
3,7,295,5,276,15,S003
3,8,933,5,442,16,S005
3,9,684,7,247,14,S003
3,10,606,5,200,22,S004
3,11,430,6,345,11,S002
3,12,948,4,216,11,S003
3,13,854,7,191,15,S002
3,14,370,5,127,8,S005
3,16,740,3,124,24,S002
3,17,235,3,157,5,S003
3,18,724,4,396,17,S003
3,19,359,2,233,22,S001
3,20,898,2,430,13,S003
3,21,442,7,348,13,S002
3,22,285,7,137,13,S001
3,23,995,7,489,14,S003
3,24,777,2,174,6,S003
3,25,881,3,241,10,S005
3,26,756,2,421,19,S001
3,27,773,6,267,7,S005
3,28,845,5,358,15,S005
3,29,995,7,472,10,S005
3,30,227,3,454,7,S004
3,31,819,4,324,15,S005
3,32,755,4,251,19,S002
3,33,539,5,118,17,S003
3,34,997,3,245,24,S004
3,35,530,2,340,14,S005
3,36,839,2,471,10,S003
3,38,705,6,480,19,S001
3,40,547,6,443,22,S001
3,41,672,2,336,22,S003
3,42,430,4,134,11,S002
3,44,389,7,289,19,S003
3,45,424,4,100,22,S003
3,46,584,6,252,22,S004
3,47,576,5,225,24,S001
3,49,482,2,444,13,S001
3,51,832,6,499,6,S005
3,52,827,6,325,12,S003
3,54,944,7,320,24,S003
3,55,458,2,310,6,S002
3,56,558,7,124,15,S001
3,59,909,2,115,11,S002
3,60,655,7,281,10,S004
3,67,610,4,428,14,S005
3,71,848,5,228,9,S002
3,72,517,5,141,15,S001
3,74,876,2,435,5,S004
3,77,424,3,335,6,S003
3,78,433,6,459,5,S004
3,79,883,6,133,23,S002
3,80,863,2,444,6,S001
3,81,573,7,480,24,S002
3,82,871,3,144,8,S003
3,83,807,4,233,16,S003
3,85,671,7,120,24,S001
3,87,432,7,221,22,S005
3,90,891,2,169,5,S004
3,91,312,2,451,5,S004
3,92,696,6,460,18,S003
3,94,641,2,147,8,S002
3,95,763,2,138,9,S002
3,96,467,2,386,15,S005
3,97,709,6,109,17,S002
3,98,585,4,129,20,S004
4,1,586,4,343,17,S002
4,2,312,2,373,6,S005
4,3,812,6,187,20,S004
4,4,824,4,343,10,S002
4,5,280,7,480,18,S004
4,6,898,4,428,5,S003
4,7,312,4,114,21,S003
4,8,201,6,103,15,S003
4,9,841,7,290,23,S002
4,10,419,6,267,7,S005
4,11,765,2,108,15,S004
4,12,935,5,208,9,S001
4,13,424,4,236,21,S003
4,14,584,5,253,11,S003
4,16,602,6,487,14,S001
4,17,837,6,308,15,S001
4,18,329,6,371,7,S002
4,19,252,5,242,24,S004
4,20,883,6,198,14,S003
4,21,929,2,476,14,S005
4,22,871,6,407,18,S002
4,23,909,3,168,16,S002
4,24,615,5,346,19,S005
4,25,446,3,360,14,S005
4,26,638,6,375,14,S005
4,27,402,2,178,23,S001
4,28,383,4,245,5,S003
4,29,322,7,210,14,S001
4,30,600,7,357,6,S003
4,31,966,6,192,21,S001
4,32,493,2,112,11,S004
4,33,479,5,359,11,S003
4,34,809,3,208,24,S002
4,35,397,3,429,13,S003
4,36,710,3,288,6,S003
4,37,951,5,194,18,S003
4,38,343,7,204,21,S004
4,39,808,2,107,5,S001
4,40,400,5,166,13,S002
4,41,323,3,290,24,S001
4,42,386,6,465,23,S001
4,44,525,4,355,8,S005
4,45,663,5,108,12,S004
4,46,548,5,216,17,S005
4,47,970,2,366,8,S004
4,48,859,2,198,13,S001
4,49,963,5,397,13,S001
4,51,602,3,496,22,S004
4,52,545,4,263,16,S001
4,54,710,2,475,14,S001
4,55,346,3,240,15,S002
4,56,347,6,367,11,S005
4,58,910,2,136,13,S005
4,59,688,3,173,10,S005
4,60,839,3,172,23,S003
4,67,750,4,407,20,S002
4,71,537,4,298,19,S005
4,72,840,6,229,11,S005
4,74,978,3,345,20,S002
4,77,672,7,411,9,S001
4,78,350,3,159,20,S005
4,79,614,4,378,5,S001
4,80,497,7,202,23,S005
4,81,810,2,395,9,S004
4,82,462,2,419,11,S003
4,83,963,5,440,23,S005
4,85,343,4,250,9,S004
4,87,545,5,256,21,S002
4,90,823,7,305,12,S004
4,91,771,4,278,5,S002
4,92,201,6,296,6,S005
4,93,503,3,322,19,S002
4,94,453,6,188,24,S004
4,95,851,7,386,22,S003
4,96,652,4,375,15,S001
4,97,236,7,335,14,S001
4,98,359,3,282,8,S003
4,99,208,2,308,9,S001
5,1,432,2,229,8,S005
5,2,298,7,252,17,S005
5,3,858,5,112,17,S004
5,4,407,4,221,22,S004
5,5,330,4,458,6,S002
5,6,603,2,319,20,S004
5,7,351,6,205,5,S005
5,8,253,3,474,23,S004
5,9,319,6,169,13,S001
5,10,872,6,294,7,S002
5,11,827,7,285,11,S002
5,12,786,2,198,14,S005
5,13,824,2,181,5,S004
5,14,619,2,174,14,S001
5,16,621,7,473,13,S004
5,17,303,5,439,19,S003
5,18,453,6,291,19,S004
5,19,426,7,424,7,S005
5,20,311,4,313,9,S004
5,21,709,3,414,13,S002
5,22,672,5,481,13,S001
5,23,298,4,466,11,S005
5,24,352,6,417,16,S003
5,25,537,2,243,13,S001
5,26,905,6,483,10,S001
5,27,362,7,315,6,S002
5,28,919,3,460,13,S002
5,29,880,7,423,21,S002
5,30,360,5,114,5,S005
5,31,779,5,316,23,S004
5,32,597,3,134,10,S001
5,33,476,4,282,9,S004
5,34,703,4,369,6,S004
5,35,591,5,457,13,S002
5,36,334,5,199,18,S004
5,38,394,2,106,8,S001
5,40,600,4,129,8,S001
5,41,839,3,404,19,S003
5,42,232,4,243,12,S005
5,44,887,2,210,8,S004
5,45,659,7,331,20,S005
5,46,669,5,278,8,S005
5,47,574,5,171,20,S005
5,49,221,2,309,16,S005
5,51,949,3,319,20,S001
5,52,869,5,179,23,S004
5,54,237,6,182,12,S003
5,55,429,5,141,10,S005
5,56,564,6,372,14,S003
5,58,762,2,290,9,S001
5,59,637,2,272,22,S001
5,60,975,5,106,14,S002
5,67,482,4,254,14,S005
5,71,226,6,109,11,S002
5,72,425,3,133,22,S003
5,74,476,5,135,5,S004
5,77,997,3,105,11,S002
5,78,808,5,314,5,S001
5,79,483,4,233,19,S005
5,80,680,4,384,8,S003
5,81,652,4,225,24,S001
5,82,858,7,436,14,S004
5,85,715,4,273,13,S005
5,87,746,2,251,6,S004
5,90,391,2,430,18,S004
5,91,248,7,125,20,S005
5,92,711,6,482,5,S005
5,94,216,3,214,6,S004
5,95,371,5,481,11,S003
5,96,419,5,383,14,S005
5,97,357,7,486,24,S001
5,98,676,2,174,5,S002
6,1,245,5,265,17,S003
6,2,572,2,288,5,S005
6,3,717,6,177,9,S005
6,4,298,3,189,20,S003
6,5,944,6,275,19,S002
6,6,236,7,120,21,S004
6,7,479,4,153,20,S001
6,8,548,4,283,17,S005
6,9,696,4,458,15,S002
6,10,501,6,321,21,S001
6,11,380,5,414,21,S003
6,12,806,3,427,6,S005
6,13,298,4,278,17,S004
6,14,899,7,375,18,S003
6,16,315,7,211,15,S005
6,17,390,4,323,14,S002
6,18,452,4,313,7,S001
6,19,360,3,158,21,S001
6,20,455,4,426,19,S005
6,21,522,3,492,13,S003
6,22,327,7,208,14,S004
6,23,217,4,484,12,S002
6,24,992,6,256,17,S005
6,25,934,6,290,22,S002
6,26,765,7,299,9,S001
6,27,769,3,411,10,S004
6,28,522,6,295,21,S002
6,29,885,3,134,15,S005
6,30,991,6,478,24,S004
6,31,825,6,486,20,S003
6,32,487,3,345,13,S005
6,33,862,5,336,6,S002
6,34,838,6,203,9,S004
6,35,354,4,106,5,S005
6,36,689,7,382,8,S004
6,37,585,5,100,8,S004
6,38,984,3,318,7,S004
6,40,303,5,329,13,S002
6,41,592,2,271,16,S005
6,42,445,2,186,14,S001
6,44,375,6,140,6,S001
6,45,238,6,222,15,S002
6,46,676,4,430,14,S002
6,47,881,7,397,10,S004
6,48,958,5,472,22,S005
6,49,737,2,277,6,S005
6,51,607,6,162,6,S003
6,52,724,7,264,14,S003
6,54,705,5,286,20,S001
6,55,235,6,482,16,S003
6,56,884,6,308,5,S003
6,58,219,2,326,12,S001
6,59,520,2,488,20,S001
6,60,975,6,147,22,S003
6,67,711,3,323,17,S005
6,71,599,6,102,19,S003
6,72,853,7,471,16,S004
6,74,670,6,274,12,S004
6,77,342,4,198,14,S004
6,78,291,4,215,18,S002
6,79,553,4,369,9,S004
6,80,999,3,467,22,S005
6,81,926,3,352,23,S002
6,82,250,6,416,19,S002
6,83,864,4,194,10,S004
6,85,897,3,372,15,S003
6,87,774,2,479,15,S001
6,90,389,6,123,24,S003
6,91,324,7,215,24,S003
6,92,349,5,250,22,S002
6,93,513,6,437,22,S002
6,94,769,5,149,14,S002
6,95,541,4,305,6,S005
6,96,504,5,434,13,S005
6,97,891,4,178,18,S001
6,98,881,2,169,23,S002
6,99,982,5,126,14,S004
7,1,253,6,370,8,S002
7,2,643,4,149,10,S005
7,3,812,6,391,18,S002
7,4,463,3,346,8,S005
7,5,252,4,363,19,S002
7,6,771,5,178,20,S004
7,7,819,4,486,11,S001
7,8,204,6,289,21,S004
7,9,302,2,146,23,S005
7,10,395,4,460,23,S003
7,11,973,5,453,21,S004
7,12,549,3,451,10,S002
7,13,246,7,288,15,S001
7,14,855,2,355,20,S002
7,16,468,3,321,12,S002
7,17,569,4,471,15,S004
7,18,835,6,340,11,S001
7,19,305,6,368,23,S003
7,20,869,5,100,14,S002
7,21,858,6,133,13,S001
7,22,856,2,178,8,S003
7,23,319,6,335,19,S002
7,24,986,5,433,17,S001
7,25,803,7,476,6,S004
7,26,257,4,448,6,S002
7,27,545,4,197,20,S002
7,28,940,6,181,13,S001
7,29,673,3,291,17,S002
7,30,316,4,352,7,S003
7,31,990,7,137,13,S002
7,32,326,6,113,17,S005
7,33,592,5,491,6,S003
7,34,840,7,446,12,S001
7,35,257,6,409,13,S003
7,36,833,7,485,20,S005
7,38,712,4,308,6,S005
7,40,950,5,456,10,S002
7,41,295,6,188,12,S002
7,42,837,2,155,9,S004
7,44,317,5,193,13,S003
7,45,759,2,192,5,S004
7,46,800,7,439,13,S005
7,47,687,3,184,14,S002
7,48,436,5,344,8,S002
7,49,471,7,121,7,S002
7,51,388,2,390,14,S001
7,52,903,4,371,19,S005
7,54,646,4,405,15,S002
7,55,780,3,221,18,S005
7,56,989,5,227,10,S002
7,58,446,5,212,16,S003
7,59,275,5,372,17,S005
7,60,353,7,435,21,S004
7,67,855,3,229,20,S001
7,71,634,5,231,7,S004
7,72,285,7,184,6,S005
7,74,896,4,449,15,S002
7,77,484,2,489,13,S005
7,78,419,7,180,7,S001
7,79,268,4,424,22,S005
7,80,246,4,168,24,S002
7,81,293,2,247,19,S004
7,82,949,4,115,18,S003
7,83,652,3,406,6,S004
7,85,403,2,204,21,S002
7,87,417,4,264,12,S002
7,90,673,6,300,14,S001
7,91,631,7,296,22,S005
7,92,540,4,284,23,S005
7,93,750,3,421,12,S004
7,94,811,5,364,12,S003
7,95,488,4,462,7,S003
7,96,453,5,199,7,S001
7,97,933,6,441,16,S002
7,98,556,4,419,21,S001
7,99,222,2,313,8,S005
8,1,961,5,377,21,S002
8,2,721,6,261,18,S001
8,3,957,2,256,23,S004
8,4,299,2,350,13,S005
8,5,379,2,465,16,S003
8,6,422,2,196,9,S001
8,7,961,4,117,15,S005
8,8,858,7,426,24,S005
8,9,641,4,482,7,S003
8,10,807,4,196,19,S003
8,11,968,6,100,18,S003
8,12,524,6,315,15,S001
8,13,715,7,231,24,S003
8,14,215,6,359,12,S004
8,16,991,3,224,8,S005
8,17,535,7,181,16,S003
8,18,958,6,382,12,S005
8,19,457,7,270,10,S002
8,20,696,4,158,19,S002
8,21,359,4,131,16,S003
8,22,674,7,260,20,S005
8,23,863,3,383,20,S002
8,24,889,3,205,24,S003
8,25,874,7,204,24,S005
8,26,579,6,327,8,S003
8,27,744,5,287,15,S005
8,28,890,3,169,17,S002
8,29,626,2,417,13,S003
8,30,812,4,389,8,S002
8,31,467,7,186,16,S003
8,32,776,2,469,13,S001
8,33,616,7,461,17,S002
8,34,367,4,155,20,S002
8,35,242,4,212,10,S004
8,36,755,3,112,14,S002
8,37,484,3,117,17,S005
8,38,596,2,281,11,S003
8,40,211,7,212,23,S001
8,41,806,4,328,23,S005
8,42,501,2,270,21,S005
8,44,452,5,394,17,S005
8,45,698,2,288,17,S005
8,46,953,6,178,6,S001
8,47,234,2,245,14,S004
8,49,926,6,281,17,S002
8,51,289,6,385,13,S005
8,52,975,6,349,5,S002
8,54,804,5,453,18,S002
8,55,801,2,413,20,S005
8,56,617,2,295,24,S004
8,58,314,5,422,19,S002
8,59,816,4,170,5,S003
8,60,395,3,347,21,S002
8,67,700,2,245,17,S005
8,71,825,3,205,19,S001
8,72,692,7,362,20,S002
8,74,274,7,395,20,S004
8,77,612,5,169,6,S003
8,78,575,7,292,21,S003
8,79,619,7,167,15,S001
8,80,928,4,404,12,S001
8,81,476,4,151,24,S002
8,82,960,4,469,7,S005
8,83,875,7,462,16,S004
8,85,593,5,384,24,S003
8,87,656,6,433,20,S001
8,90,391,6,108,18,S004
8,91,938,3,350,20,S005
8,92,888,6,431,21,S003
8,93,298,6,397,15,S003
8,94,747,4,283,21,S005
8,95,295,4,278,23,S003
8,96,863,7,297,5,S005
8,97,862,3,227,16,S003
8,98,389,2,119,19,S002
8,99,935,3,427,22,S005
9,1,236,3,164,18,S004
9,2,979,5,281,5,S002
9,3,568,7,340,17,S004
9,4,894,5,468,19,S003
9,5,724,3,123,11,S004
9,6,478,3,483,19,S002
9,7,416,3,182,24,S005
9,8,997,6,418,14,S001
9,9,472,5,284,18,S004
9,10,261,3,415,10,S001
9,11,795,4,198,18,S004
9,12,928,7,161,16,S004
9,13,541,7,385,15,S005
9,14,596,4,121,24,S003
9,16,898,7,311,23,S002
9,17,218,6,225,6,S002
9,18,376,6,141,24,S002
9,19,811,2,197,5,S003
9,20,595,2,130,12,S001
9,21,644,2,257,18,S002
9,22,432,7,211,13,S001
9,23,275,6,346,6,S003
9,24,464,6,221,9,S003
9,25,654,6,372,12,S005
9,26,995,4,393,20,S002
9,27,917,6,497,20,S005
9,28,934,4,306,17,S002
9,29,583,2,209,24,S003
9,30,763,2,377,19,S003
9,31,705,7,155,5,S004
9,32,566,2,474,7,S004
9,33,343,7,156,10,S003
9,34,268,3,390,18,S003
9,35,298,3,213,8,S001
9,36,595,5,480,22,S001
9,38,224,7,484,19,S005
9,40,668,5,407,13,S004
9,41,683,5,440,22,S004
9,42,764,3,297,7,S003
9,44,350,7,420,14,S003
9,45,343,3,278,21,S005
9,46,768,5,484,11,S004
9,47,238,7,318,19,S001
9,48,308,5,376,5,S002
9,49,892,6,115,15,S005
9,51,241,7,478,21,S002
9,52,385,7,160,9,S001
9,54,597,5,153,11,S001
9,55,422,6,267,23,S002
9,56,833,4,125,19,S005
9,59,332,3,435,7,S002
9,60,362,5,164,19,S005
9,67,414,7,199,9,S005
9,71,932,3,173,16,S003
9,72,434,3,291,24,S004
9,74,857,3,270,9,S004
9,77,950,4,372,7,S001
9,78,787,2,476,13,S003
9,79,208,5,286,13,S004
9,80,273,2,122,11,S005
9,81,691,2,490,6,S005
9,82,452,2,280,20,S002
9,85,429,3,426,13,S002
9,87,718,6,207,17,S005
9,90,373,3,434,23,S005
9,91,852,3,261,24,S002
9,92,367,7,401,21,S004
9,93,369,7,305,10,S001
9,94,592,2,177,8,S002
9,95,994,3,115,5,S004
9,96,833,2,426,22,S004
9,97,393,7,195,23,S004
9,98,716,6,246,13,S003
10,1,228,5,101,17,S003
10,2,364,2,109,12,S004
10,3,621,6,224,17,S005
10,4,538,5,180,19,S003
10,5,847,4,239,15,S002
10,6,695,2,425,16,S003
10,7,564,2,249,18,S005
10,8,541,4,387,8,S001
10,9,699,4,460,5,S003
10,10,856,2,439,8,S004
10,11,710,4,228,23,S004
10,12,526,3,338,13,S004
10,13,416,5,157,14,S001
10,14,500,5,297,8,S005
10,16,331,5,310,24,S002
10,17,269,3,489,13,S005
10,18,451,4,144,17,S001
10,19,614,6,196,16,S004
10,20,986,4,378,15,S005
10,21,644,2,122,16,S002
10,22,381,7,490,22,S004
10,23,366,5,434,16,S002
10,24,290,4,143,20,S003
10,25,913,6,126,9,S002
10,26,730,2,381,24,S004
10,27,238,3,196,16,S003
10,28,325,3,135,15,S004
10,29,650,6,208,13,S004
10,30,372,2,154,22,S003
10,31,852,5,291,7,S002
10,32,953,4,318,24,S001
10,33,419,2,284,21,S001
10,34,837,3,168,18,S001
10,35,257,6,416,5,S001
10,36,859,6,229,21,S005
10,37,675,4,154,12,S001
10,38,655,6,477,9,S003
10,40,560,6,196,9,S001
10,41,200,2,435,13,S004
10,42,586,5,186,7,S001
10,44,547,4,393,23,S002
10,45,389,2,218,13,S003
10,46,704,5,307,22,S003
10,47,390,2,433,20,S005
10,48,707,7,253,5,S004
10,49,568,2,134,6,S003
10,50,608,6,178,18,S002
10,51,316,5,166,18,S001
10,52,333,4,442,5,S003
10,54,257,4,133,20,S002
10,55,755,5,196,19,S001
10,56,884,6,268,19,S005
10,58,871,3,268,16,S003
10,59,372,2,250,20,S003
10,60,348,6,170,18,S002
10,67,279,7,102,19,S004
10,71,412,5,413,19,S005
10,72,402,2,131,23,S004
10,74,963,4,386,12,S003
10,77,428,3,181,6,S004
10,78,875,7,142,6,S001
10,79,426,4,490,14,S005
10,80,858,5,204,7,S004
10,81,731,2,100,21,S001
10,82,640,5,160,12,S002
10,83,601,2,369,8,S004
10,85,246,6,279,18,S005
10,87,432,3,323,14,S001
10,90,504,6,105,5,S004
10,91,725,6,202,8,S002
10,92,342,5,109,5,S004
10,93,614,3,170,21,S001
10,94,712,2,189,21,S004
10,95,572,2,325,11,S005
10,96,765,7,257,24,S003
10,97,458,4,327,19,S001
10,98,855,7,225,17,S001
11,1,670,7,308,6,S001
11,2,211,2,196,23,S001
11,3,529,5,173,17,S004
11,4,935,6,214,15,S005
11,5,983,6,290,19,S002
11,6,557,6,269,14,S005
11,7,607,3,406,13,S001
11,8,867,2,303,13,S004
11,9,572,5,155,24,S004
11,10,207,3,307,5,S001
11,11,321,4,140,21,S004
11,12,547,5,131,16,S001
11,13,875,7,114,14,S005
11,14,289,5,161,9,S003
11,16,847,5,254,22,S004
11,17,897,6,383,19,S001
11,18,515,5,308,10,S001
11,19,377,7,419,11,S004
11,20,739,7,286,21,S002
11,21,931,2,229,10,S001
11,22,240,5,226,12,S004
11,23,939,6,391,16,S001
11,24,903,5,213,18,S002
11,25,701,4,298,16,S003
11,26,344,4,112,14,S002
11,27,400,6,370,24,S005
11,28,923,2,188,19,S004
11,29,660,2,314,11,S002
11,30,931,7,377,13,S003
11,31,951,7,302,14,S001
11,32,757,3,173,14,S004
11,33,746,6,124,20,S002
11,34,452,5,200,11,S003
11,35,589,6,275,9,S002
11,36,793,3,216,7,S005
11,37,455,7,265,22,S004
11,38,908,6,140,15,S001
11,40,649,6,443,19,S003
11,41,209,7,465,24,S002
11,42,997,3,219,9,S004
11,44,441,7,196,16,S002
11,45,450,2,244,8,S004
11,46,204,5,315,19,S005
11,47,318,7,328,13,S002
11,48,573,3,412,11,S005
11,49,264,4,229,14,S003
11,50,345,2,451,17,S005
11,51,423,4,476,12,S004
11,52,438,7,417,16,S003
11,54,376,2,236,23,S002
11,55,978,5,423,5,S002
11,56,481,7,436,20,S004
11,58,262,5,372,21,S001
11,59,416,6,216,22,S001
11,60,994,4,405,15,S002
11,67,888,2,467,22,S004
11,71,660,5,193,11,S001
11,72,809,3,267,22,S005
11,74,304,5,302,12,S002
11,77,298,3,440,10,S005
11,78,710,7,248,11,S004
11,79,584,2,282,14,S005
11,80,604,5,251,15,S001
11,81,717,5,173,17,S001
11,82,675,2,464,13,S003
11,83,908,5,373,11,S002
11,85,844,3,141,13,S004
11,87,970,5,311,17,S002
11,90,636,4,200,7,S005
11,91,222,7,144,7,S004
11,92,764,6,181,5,S004
11,93,876,3,116,24,S001
11,94,913,4,172,6,S005
11,95,657,7,113,7,S001
11,96,282,2,256,19,S001
11,97,344,3,322,10,S003
11,98,284,6,231,17,S001
11,99,277,7,437,5,S002
12,1,656,6,475,24,S004
12,2,200,2,475,23,S001
12,3,250,2,146,5,S002
12,4,884,3,206,6,S005
12,5,916,5,207,19,S004
12,6,971,2,364,18,S005
12,7,645,7,304,23,S002
12,8,648,5,178,15,S005
12,9,687,4,254,19,S005
12,10,999,6,370,10,S005
12,11,233,5,346,24,S001
12,12,547,6,118,13,S001
12,13,294,5,445,9,S001
12,14,271,4,125,24,S004
12,16,750,2,316,6,S002
12,17,353,4,253,10,S001
12,18,449,2,253,22,S005
12,19,873,2,273,23,S005
12,20,637,6,191,13,S005
12,21,317,7,437,10,S005
12,22,970,4,280,18,S003
12,23,505,5,230,17,S004
12,24,467,4,397,15,S002
12,25,253,6,374,16,S002
12,26,435,2,372,23,S001
12,27,588,6,175,23,S003
12,28,933,3,276,23,S002
12,29,962,3,283,17,S004
12,30,600,5,418,18,S005
12,31,823,6,230,22,S001
12,32,966,5,462,16,S004
12,33,502,5,148,8,S002
12,34,406,3,154,14,S003
12,35,428,5,253,21,S001
12,36,777,3,454,8,S002
12,38,274,2,299,16,S001
12,40,634,6,407,17,S002
12,41,302,5,455,8,S005
12,42,621,3,472,14,S003
12,44,903,4,217,7,S005
12,45,963,5,362,19,S002
12,46,937,7,145,6,S004
12,47,505,2,401,21,S005
12,49,297,2,455,10,S004
12,51,997,4,499,12,S002
12,52,534,3,288,7,S003
12,54,634,5,409,22,S004
12,55,646,3,417,5,S002
12,56,507,2,228,20,S004
12,58,448,3,148,11,S005
12,59,365,2,124,7,S002
12,60,680,3,365,8,S005
12,67,534,4,217,13,S001
12,71,741,6,243,9,S002
12,72,958,4,299,23,S004
12,74,305,4,256,19,S001
12,77,762,6,447,12,S005
12,78,280,6,233,10,S005
12,79,332,5,499,22,S004
12,80,996,5,247,23,S001
12,81,337,4,435,19,S003
12,82,383,4,170,11,S004
12,83,600,2,332,14,S005
12,85,529,2,433,10,S002
12,87,984,5,398,18,S001
12,90,707,7,253,21,S003
12,91,268,7,189,13,S002
12,92,745,5,433,23,S001
12,93,973,2,298,9,S004
12,94,252,2,260,11,S004
12,95,649,7,125,23,S001
12,96,404,3,220,24,S003
12,97,325,3,400,11,S001
12,98,946,2,311,6,S002
12,99,242,3,162,20,S002
13,1,951,6,167,17,S004
13,2,310,5,352,12,S001
13,3,960,5,101,10,S004
13,4,862,2,497,10,S003
13,5,382,4,207,13,S002
13,6,294,7,385,8,S005
13,7,573,2,148,15,S005
13,8,719,3,239,9,S001
13,9,559,7,317,21,S001
13,10,895,4,143,24,S005
13,11,480,3,368,11,S001
13,12,394,6,177,19,S002
13,13,394,3,315,19,S003
13,14,866,6,481,18,S003
13,16,292,7,197,17,S004
13,17,871,6,335,15,S002
13,18,260,7,381,17,S001
13,19,833,7,248,13,S001
